,to_rent,price,number_of_rooms,living_area,fully_equipped_kitchen,furnished,open_fire,terrace,area_of_the_terrace,garden,area_of_the_garden,swimming_pool,state_of_the_building,zipcode,type,region,region_be,price_perm2
43,True,2245.0,2.0,100.0,True,True,False,False,0.0,False,0.0,False,excellentétat,1040,Appartement,Brussels,Brussels,22.45
44,True,2509.0,1.0,120.0,True,True,False,True,18.0,False,0.0,False,excellentétat,4000,Appartement,Liège,Region Walloonie,20.908333333333335
45,True,1300.0,2.0,65.0,True,True,False,True,18.0,False,0.0,False,excellentétat,4000,Appartement,Liège,Region Walloonie,20.0
46,True,2475.0,2.0,100.0,True,True,False,False,0.0,False,0.0,False,excellentétat,1000,Appartement,Brussels,Brussels,24.75
47,True,1329.0,1.0,75.0,True,True,False,False,0.0,False,0.0,False,excellentétat,4000,Appartement,Liège,Region Walloonie,17.72
48,True,1400.0,1.0,35.0,True,True,False,False,0.0,False,0.0,False,excellentétat,4000,Studio,Liège,Region Walloonie,40.0
49,True,1800.0,2.0,75.0,True,True,False,False,0.0,False,0.0,False,excellentétat,4000,Appartement,Liège,Region Walloonie,24.0
50,True,1600.0,1.0,75.0,True,True,False,False,0.0,False,0.0,False,excellentétat,4000,Appartement,Liège,Region Walloonie,21.333333333333332
51,True,1090.0,1.0,65.0,True,True,False,True,18.0,False,0.0,False,excellentétat,4000,Appartement,Liège,Region Walloonie,16.76923076923077
52,True,2000.0,2.0,80.0,True,True,False,True,30.0,False,0.0,False,excellentétat,4000,Appartement,Liège,Region Walloonie,25.0
53,True,1799.0,2.0,115.0,True,True,False,False,0.0,False,0.0,False,excellentétat,4000,Appartement,Liège,Region Walloonie,15.643478260869566
54,True,1850.0,1.0,78.0,True,True,False,False,0.0,False,0.0,False,excellentétat,1000,Appartement,Brussels,Brussels,23.71794871794872
55,True,1500.0,1.0,60.0,True,True,False,False,0.0,False,0.0,False,excellentétat,4000,Appartement,Liège,Region Walloonie,25.0
56,True,1350.0,1.0,35.0,True,True,False,False,0.0,False,0.0,False,excellentétat,3000,Studio,Flemish Region,Region Flanders,38.57142857142857
57,True,690.0,2.0,116.0,True,False,False,False,0.0,False,0.0,False,excellentétat,5340,Duplex,Namur,Region Walloonie,5.948275862068965
58,True,600.0,2.0,72.0,True,False,False,False,0.0,False,0.0,False,fraîchementrénové,6001,Appartement,Hainaut,Region Walloonie,8.333333333333334
59,True,670.0,2.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,excellentétat,5600,Appartement,Namur,Region Walloonie,4.174313994767761
60,True,850.0,2.0,160.50541498310923,True,False,False,True,22.0,False,0.0,False,excellentétat,5030,Appartement,Namur,Region Walloonie,5.295771485899399
61,True,350.0,1.0,70.0,True,True,False,False,0.0,False,0.0,False,bon,4020,Logementétudiant,Liège,Region Walloonie,5.0
62,True,1100.0,2.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,excellentétat,7011,Villa,Walloon Region,Region Walloonie,6.85335133469334
63,True,486.0,1.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,fraîchementrénové,6000,Appartement,Hainaut,Region Walloonie,3.027935226055421
64,True,750.0,2.0,93.0,True,False,False,True,3.0,False,0.0,False,excellentétat,5000,Appartement,Namur,Region Walloonie,8.064516129032258
65,True,590.0,2.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,bon,6040,Appartement,Hainaut,Region Walloonie,3.6758884431537004
66,True,795.0,1.0,55.0,True,False,False,False,0.0,False,0.0,False,excellentétat,2000,Duplex,Antwerp,Region Flanders,14.454545454545455
67,True,1100.0,3.0,125.0,True,False,False,False,0.0,True,45.0,False,excellentétat,4020,Maison,Liège,Region Walloonie,8.8
68,True,700.0,2.0,80.0,True,False,False,False,0.0,False,0.0,False,excellentétat,5660,Appartement,Namur,Region Walloonie,8.75
69,True,800.0,2.0,82.0,True,False,False,False,0.0,False,0.0,False,bon,9000,Appartement,East Flanders,Region Flanders,9.75609756097561
70,True,710.0,3.0,75.0,True,False,False,False,0.0,False,0.0,False,àrafraîchir,6900,Appartement,Luxembourg,Region Walloonie,9.466666666666667
71,True,1200.0,3.0,185.0,True,False,False,True,10.0,False,0.0,False,bon,3300,Maison,Flemish Region,Region Flanders,6.486486486486487
72,True,800.0,1.0,50.0,True,False,False,False,0.0,False,0.0,False,fraîchementrénové,5000,Appartement,Namur,Region Walloonie,16.0
73,True,1205.0,1.0,41.0,True,False,False,False,0.0,False,0.0,False,bon,2800,Studio,Antwerp,Region Flanders,29.390243902439025
74,True,3650.0,3.0,185.0,True,False,False,True,56.0,False,0.0,False,excellentétat,1000,Penthouse,Brussels,Brussels,19.72972972972973
75,True,4500.0,3.0,185.0,True,True,False,True,56.0,False,0.0,False,bon,1000,Penthouse,Brussels,Brussels,24.324324324324323
76,True,950.0,1.0,83.0,True,False,False,True,8.0,False,0.0,False,excellentétat,1070,Appartement,Brussels,Brussels,11.44578313253012
77,True,800.0,2.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,bon,4960,Appartement,Liège,Region Walloonie,4.98425551614061
78,True,1434.0,1.0,160.50541498310923,True,True,False,True,24.0,False,0.0,False,excellentétat,7321,Appartement,Walloon Region,Region Walloonie,8.934278012682045
79,True,2400.0,2.0,120.0,True,True,False,True,15.0,False,0.0,False,excellentétat,1000,Appartement,Brussels,Brussels,20.0
80,True,1100.0,1.0,70.0,True,False,False,True,10.0,False,0.0,False,àrafraîchir,9940,Appartement,East Flanders,Region Flanders,15.714285714285714
81,True,1290.0,1.0,71.0,True,True,False,True,10.0,False,0.0,False,excellentétat,3150,Appartementdeservice,Flemish Region,Region Flanders,18.169014084507044
82,True,1500.0,1.0,55.0,True,False,False,True,7.0,False,0.0,False,excellentétat,8660,Appartement,Walloon Region,Region Walloonie,27.272727272727273
83,True,1350.0,1.0,82.0,True,False,False,False,0.0,False,0.0,False,excellentétat,1050,Appartement,Brussels,Brussels,16.463414634146343
84,True,1900.0,3.0,164.0,True,False,False,False,0.0,False,0.0,False,excellentétat,1050,Duplex,Brussels,Brussels,11.585365853658537
85,True,2850.0,2.0,180.0,True,False,False,True,14.0,False,0.0,False,excellentétat,1150,Appartement,Brussels,Brussels,15.833333333333334
86,True,775.0,1.0,68.0,False,False,False,True,10.0,False,0.0,False,bon,8670,Appartement,Walloon Region,Region Walloonie,11.397058823529411
87,True,595.0,1.0,80.0,True,False,False,False,0.0,False,0.0,False,excellentétat,4000,Rez-de-chaussée,Liège,Region Walloonie,7.4375
88,True,750.0,1.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,bon,9600,Rez-de-chaussée,East Flanders,Region Flanders,4.672739546381822
89,True,930.0,3.0,114.0,True,False,False,True,25.0,False,0.0,False,fraîchementrénové,2800,Appartement,Antwerp,Region Flanders,8.157894736842104
