,to_rent,price,number_of_rooms,living_area,fully_equipped_kitchen,furnished,open_fire,terrace,area_of_the_terrace,garden,area_of_the_garden,swimming_pool,state_of_the_building,zipcode,type,region,region_be,price_perm2
144,True,850.0,2.0,119.0,True,False,False,False,0.0,False,0.0,False,excellentétat,8550,Appartement,Walloon Region,Region Walloonie,7.142857142857143
145,True,1200.0,3.0,158.0,True,False,False,True,35.0,False,0.0,False,bon,9000,Maison,East Flanders,Region Flanders,7.594936708860759
146,True,1500.0,3.0,150.0,True,False,False,True,7.0,True,50.0,False,bon,1200,Rez-de-chaussée,Brussels,Brussels,10.0
147,True,850.0,1.0,90.0,True,False,False,True,2.0,False,0.0,False,bon,1020,Appartement,Brussels,Brussels,9.444444444444445
148,True,1665.0,2.0,95.0,True,False,False,False,0.0,False,0.0,False,excellentétat,1000,Appartement,Brussels,Brussels,17.526315789473685
149,True,850.0,2.0,110.0,True,False,False,True,17.0,False,0.0,False,excellentétat,4000,Duplex,Liège,Region Walloonie,7.727272727272727
150,True,570.0,1.0,160.50541498310923,True,False,False,False,0.0,False,0.0,False,excellentétat,6000,Appartement,Hainaut,Region Walloonie,3.551282055250185
151,True,920.0,2.0,140.0,True,False,False,True,57.0,True,80.0,False,excellentétat,5100,Appartement,Namur,Region Walloonie,6.571428571428571
152,True,1850.0,2.0,160.50541498310923,True,True,False,True,10.0,False,0.0,False,excellentétat,7000,Appartement,Walloon Region,Region Walloonie,11.52609088107516
153,True,800.0,2.0,80.0,True,False,False,False,0.0,False,0.0,False,excellentétat,8500,Appartement,Walloon Region,Region Walloonie,10.0
154,True,2800.0,3.0,150.0,True,False,False,True,50.0,False,0.0,False,excellentétat,1180,Appartement,Brussels,Brussels,18.666666666666668
155,True,650.0,1.0,85.0,True,False,False,True,12.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.647058823529412
156,True,650.0,1.0,85.0,True,False,False,True,12.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.647058823529412
157,True,2600.0,3.0,160.0,True,True,False,True,24.0,False,0.0,False,bon,1050,Appartement,Brussels,Brussels,16.25
158,True,650.0,1.0,84.0,True,False,False,True,12.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.738095238095238
159,True,650.0,1.0,82.0,True,False,False,True,12.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.926829268292683
160,True,650.0,1.0,85.0,True,False,False,True,12.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.647058823529412
161,True,650.0,1.0,83.0,True,False,False,True,12.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.831325301204819
162,True,650.0,1.0,83.0,True,False,False,True,12.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.831325301204819
163,True,650.0,1.0,82.0,True,False,False,True,12.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.926829268292683
164,True,650.0,1.0,85.0,True,False,False,True,12.0,False,0.0,False,excellentétat,9600,Appartement,East Flanders,Region Flanders,7.647058823529412
165,True,745.0,2.0,95.0,True,False,False,True,1.0,True,1.0,False,fraîchementrénové,6724,Rez-de-chaussée,Luxembourg,Region Walloonie,7.842105263157895
166,True,925.0,3.0,180.0,True,False,False,False,0.0,False,0.0,False,excellentétat,7110,Appartement,Walloon Region,Region Walloonie,5.138888888888889
167,True,650.0,1.0,84.0,True,False,False,True,10.0,False,0.0,False,bon,9600,Appartement,East Flanders,Region Flanders,7.738095238095238
168,True,650.0,1.0,83.0,True,False,False,True,10.0,False,0.0,False,bon,9600,Appartement,East Flanders,Region Flanders,7.831325301204819
