,price,number_of_rooms,living_area,fully_equipped_kitchen,furnished,terrace,garden,swimming_pool,state_of_the_building_bon,state_of_the_building_excellentétat,state_of_the_building_fraîchementrénové,state_of_the_building_àrafraîchir,state_of_the_building_àrestaurer,state_of_the_building_àrénover,type_Appartement,type_Appartementdeservice,type_Autresbiens,type_Bienexceptionnel,type_Bungalow,type_Duplex,type_Immeuble,type_Immeublemixte,type_Loft,type_Logementétudiant,type_Maison,type_Maisonbel-étage,type_Maisondecampagne,type_Maisondemaître,type_Penthouse,type_Rez-de-chaussée,type_Studio,type_Triplex,type_Villa,region_Antwerp,region_Brussels,region_East Flanders,region_Flemish Brabant,region_Flemish Region,region_Hainaut,region_Limburg,region_Liège,region_Luxembourg,region_Namur,region_Walloon Brabant,region_Walloon Region
30,900.0,2.0,80.0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,800.0,1.0,60.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,650.0,1.0,120.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,1450.0,3.0,180.0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
34,1200.0,2.0,90.0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,1200.0,2.0,90.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
36,650.0,2.0,80.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
37,1000.0,1.0,76.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
38,1200.0,2.0,118.0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
40,953.0,1.0,50.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
